adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
30,200,10,0.01,0.2,True,-19.82,-3.5,-0.742,-0.143,-24.05,-0.145,27.03,0.652,74,8017.75,72.97
30,100,30,0.01,0.15,True,-13.48,-2.31,-0.746,-0.118,-14.29,-0.161,30.51,0.617,59,8652.28,69.49
30,200,20,0.01,0.15,True,-14.09,-2.42,-0.747,-0.12,-15.49,-0.156,28.07,0.605,57,8590.87,71.93
35,50,20,0.005,0.25,True,-22.06,-3.94,-0.76,-0.162,-25.44,-0.155,29.79,0.694,94,7793.82,69.15
25,50,10,0.005,0.25,True,-32.38,-6.11,-0.763,-0.258,-38.1,-0.16,30.77,0.791,208,6761.98,68.27
30,200,10,0.002,0.15,True,-19.93,-3.52,-0.769,-0.191,-25.7,-0.137,31.78,0.717,129,8006.9,65.89
25,100,10,0.002,0.25,True,-31.69,-5.95,-0.769,-0.256,-39.97,-0.149,31.86,0.787,204,6831.14,67.65
35,200,10,0.002,0.2,True,-19.69,-3.47,-0.775,-0.159,-22.2,-0.156,30.77,0.673,91,8030.53,69.23
25,50,20,0.005,0.15,True,-21.28,-3.78,-0.782,-0.208,-25.18,-0.15,34.59,0.746,159,7872.38,64.78
25,200,10,0.002,0.2,True,-27.0,-4.94,-0.793,-0.233,-32.54,-0.152,32.56,0.754,172,7299.64,66.86
35,50,30,0.005,0.15,True,-14.22,-2.44,-0.801,-0.133,-16.78,-0.145,33.8,0.626,71,8577.84,64.79
35,50,10,0.005,0.25,True,-24.68,-4.46,-0.802,-0.185,-29.78,-0.15,30.63,0.702,111,7532.14,67.57
30,100,10,0.002,0.2,True,-26.04,-4.74,-0.805,-0.227,-30.85,-0.154,32.52,0.745,163,7395.51,65.64
35,200,30,0.002,0.25,True,-18.43,-3.23,-0.807,-0.138,-21.69,-0.149,26.23,0.599,61,8157.22,73.77
30,200,20,0.002,0.15,True,-18.24,-3.19,-0.809,-0.179,-23.5,-0.136,30.77,0.672,104,8176.13,67.31
30,50,30,0.005,0.2,True,-21.27,-3.78,-0.814,-0.181,-25.55,-0.148,31.13,0.686,106,7873.23,68.87
25,50,20,0.002,0.25,True,-29.69,-5.52,-0.816,-0.253,-35.39,-0.156,29.94,0.76,177,7031.1,70.06
25,100,30,0.005,0.25,True,-26.02,-4.74,-0.816,-0.197,-29.09,-0.163,29.66,0.705,118,7398.23,70.34
35,100,30,0.002,0.25,True,-20.02,-3.53,-0.824,-0.148,-22.12,-0.16,31.08,0.634,74,7998.11,68.92
35,200,10,0.01,0.15,True,-16.66,-2.89,-0.829,-0.133,-19.41,-0.149,26.32,0.562,57,8333.85,73.68
30,50,30,0.01,0.15,True,-16.13,-2.79,-0.829,-0.149,-16.13,-0.173,29.17,0.607,72,8386.83,69.44
30,50,10,0.005,0.25,True,-30.11,-5.61,-0.833,-0.241,-34.63,-0.162,29.56,0.739,159,6988.8,69.18
25,100,20,0.01,0.25,True,-24.24,-4.37,-0.849,-0.179,-29.35,-0.149,26.44,0.642,87,7576.44,73.56
25,50,20,0.01,0.2,True,-21.95,-3.91,-0.85,-0.177,-25.82,-0.152,29.35,0.645,92,7804.74,70.65
