min_size_pct,min_bars_in,rr_ratio,risk_per_trade,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital
7.0,6,1.5,0.15,46.17,6.29,0.351,0.048,-70.47,0.089,47.5,1.376,40,14616.64
7.0,4,2.5,0.15,44.98,6.15,0.372,0.067,-67.17,0.092,41.3,1.403,46,14497.65
7.0,8,4.0,0.02,44.5,6.1,0.725,0.138,-6.22,0.981,51.85,2.633,27,14450.06
7.0,8,1.5,0.03,44.1,6.05,0.72,0.098,-12.29,0.492,55.88,2.021,34,14409.9
7.0,4,2.0,0.15,43.54,5.98,0.362,0.06,-64.76,0.092,43.48,1.372,46,14354.02
4.0,10,2.5,0.1,42.87,5.9,0.367,0.095,-75.66,0.078,38.95,1.285,95,14287.33
7.0,5,2.0,0.05,42.86,5.9,0.413,0.063,-22.36,0.264,44.74,1.477,38,14286.07
7.0,4,2.5,0.05,42.3,5.83,0.372,0.067,-27.92,0.209,41.3,1.403,46,14230.0
7.0,6,1.5,0.08,41.99,5.8,0.351,0.048,-42.78,0.136,47.5,1.376,40,14199.03
7.0,6,4.0,0.02,40.91,5.67,0.674,0.126,-7.87,0.72,53.33,2.352,30,14091.39
7.0,10,3.0,0.02,39.95,5.55,0.781,0.129,-6.99,0.794,55.56,2.682,27,13994.67
7.0,8,3.0,0.02,39.08,5.45,0.761,0.124,-6.34,0.858,53.57,2.557,28,13908.08
7.0,4,2.0,0.05,37.21,5.22,0.362,0.06,-27.92,0.187,43.48,1.372,46,13720.72
7.0,6,2.5,0.02,37.14,5.21,0.715,0.117,-8.33,0.625,52.94,2.134,34,13713.64
7.0,10,2.0,0.02,36.58,5.14,0.795,0.12,-8.97,0.573,56.67,2.351,30,13658.04
4.0,10,2.5,0.03,35.98,5.06,0.367,0.095,-29.17,0.174,38.95,1.285,95,13598.2
4.0,10,1.5,0.03,35.96,5.06,0.41,0.091,-29.85,0.17,46.73,1.284,107,13596.12
7.0,8,2.0,0.02,35.77,5.04,0.772,0.116,-8.33,0.605,54.84,2.259,31,13577.23
7.0,6,3.0,0.02,35.63,5.02,0.699,0.112,-6.34,0.791,54.84,2.267,31,13562.86
7.0,6,2.0,0.03,35.0,4.94,0.519,0.079,-13.96,0.354,47.22,1.649,36,13500.04
7.0,5,4.0,0.02,35.0,4.94,0.59,0.111,-7.87,0.628,50.0,2.044,32,13499.98
7.0,2,2.0,0.08,34.19,4.84,0.3,0.057,-51.49,0.094,39.39,1.271,66,13419.45
4.0,8,4.0,0.05,34.19,4.84,0.296,0.092,-52.98,0.091,32.65,1.258,98,13419.37
4.0,10,4.0,0.02,32.57,4.64,0.397,0.12,-20.7,0.224,34.83,1.359,89,13257.27
7.0,4,4.0,0.02,32.52,4.63,0.498,0.109,-14.39,0.322,41.46,1.696,41,13251.99
7.0,5,2.5,0.02,31.38,4.48,0.616,0.101,-8.33,0.538,50.0,1.875,36,13138.08
7.0,2,2.0,0.1,31.29,4.47,0.3,0.057,-60.3,0.074,39.39,1.271,66,13128.96
4.0,10,1.5,0.15,30.94,4.43,0.41,0.091,-85.92,0.052,46.73,1.284,107,13094.07
7.0,10,1.5,0.02,30.05,4.31,0.766,0.104,-8.97,0.481,57.58,2.132,33,13004.81
7.0,5,3.0,0.02,29.94,4.3,0.599,0.097,-6.34,0.678,51.52,1.954,33,12993.63
7.0,4,3.0,0.03,29.92,4.3,0.392,0.072,-18.73,0.229,41.86,1.467,43,12992.43
7.0,6,1.5,0.05,29.64,4.26,0.351,0.048,-27.7,0.154,47.5,1.376,40,12964.23
7.0,2,2.0,0.05,29.32,4.22,0.3,0.057,-35.44,0.119,39.39,1.271,66,12932.19
4.0,8,4.0,0.03,29.26,4.21,0.296,0.092,-35.15,0.12,32.65,1.258,98,12926.47
7.0,8,1.5,0.02,28.22,4.08,0.72,0.098,-8.33,0.489,55.88,2.021,34,12822.49
7.0,6,1.5,0.2,27.7,4.01,0.351,0.048,-83.39,0.048,47.5,1.376,40,12770.14
7.0,4,2.5,0.03,27.33,3.96,0.372,0.067,-17.68,0.224,41.3,1.403,46,12733.35
7.0,5,2.0,0.03,26.55,3.86,0.413,0.063,-13.96,0.276,44.74,1.477,38,12654.85
4.0,10,2.5,0.02,25.26,3.69,0.367,0.095,-19.91,0.185,38.95,1.285,95,12525.76
7.0,4,3.0,0.2,24.59,3.6,0.392,0.072,-86.47,0.042,41.86,1.467,43,12459.45
4.0,10,1.5,0.02,24.52,3.59,0.41,0.091,-20.89,0.172,46.73,1.284,107,12452.02
7.0,10,2.5,0.01,24.2,3.55,0.942,0.162,-4.57,0.776,58.62,2.99,29,12420.3
7.0,4,2.0,0.03,23.95,3.51,0.362,0.06,-17.68,0.199,43.48,1.372,46,12395.16
7.0,8,2.5,0.01,23.83,3.5,0.921,0.158,-4.24,0.825,56.67,2.854,30,12382.81
7.0,6,2.0,0.02,23.01,3.39,0.519,0.079,-9.49,0.357,47.22,1.649,36,12301.46
7.0,5,1.5,0.08,22.85,3.36,0.255,0.035,-42.78,0.079,47.62,1.261,42,12284.63
7.0,5,1.5,0.1,22.3,3.29,0.255,0.035,-51.84,0.063,47.62,1.261,42,12230.13
4.0,8,4.0,0.02,22.03,3.25,0.296,0.092,-24.58,0.132,32.65,1.258,98,12203.43
7.0,10,4.0,0.01,21.66,3.2,0.755,0.144,-3.14,1.019,53.85,2.842,26,12165.81
7.0,8,4.0,0.01,20.87,3.09,0.725,0.138,-3.14,0.985,51.85,2.633,27,12086.98
7.0,4,3.0,0.02,20.33,3.02,0.392,0.072,-12.76,0.237,41.86,1.467,43,12032.52
7.0,2,2.0,0.03,20.25,3.01,0.3,0.057,-22.64,0.133,39.39,1.271,66,12025.27
7.0,3,4.0,0.05,20.13,2.99,0.232,0.053,-52.56,0.057,32.08,1.271,53,12012.7
7.0,6,4.0,0.01,19.37,2.89,0.674,0.126,-3.96,0.729,53.33,2.352,30,11937.11
7.0,6,1.5,0.03,18.79,2.81,0.351,0.048,-16.88,0.166,47.5,1.376,40,11879.13
7.0,10,3.0,0.01,18.76,2.8,0.781,0.129,-3.54,0.791,55.56,2.682,27,11876.28
